"companyId","companyName","ReviewsCount","AggregateRating"
"449469","Redisolve Software","126.0","2.9"
"51809","Cyfuture","547.0","2.8"
"5846472","Green Leaf Consultants Kolkata","",""
"4127256","Million Minds Management Services","",""
"6609404","BIM Modeling Services India","20.0","4.2"
"123843635","SRI Seven Hills Constructions","",""
"123745687","Arihant Consultants","",""
"5795124","Niftel Communications","240.0","3.1"
"6979121","Ybrant People Manpower Consulting","",""
"911098","Radiansys Technologies","11.0","3.7"
"9145","Motilal Oswal Financial Services (MOFSL)","3962.0","3.7"
"3324330","Lemonpeak Marketing Services","53.0","3.4"
"81624","Dixon Technologies","1384.0","3.9"
"49069","ICICI Lombard","5221.0","3.6"
"49585","DCB Bank","3668.0","3.8"
"124761827","Ideate Informatics Llp","14.0","4.2"
"647581","Jeena & Company","171.0","3.5"
"124944939","Keshari Biz Associates","",""
"124729871","Octfis Techno","",""
"124869569","Lixil Asia","233.0","3.9"
"3766188","Tarakki Career Solutions New Delhi","",""
"125122273","Aber Steels","",""
"4673438","Radisson Hotel Group","2090.0","4.0"
"125027773","Freecharge","376.0","3.8"
"5756738","GIG Consultants","",""
"830945","Renovision Automation Services (RASPL)","",""
"4273160","Srivango","",""
"2507676","Puresynth Research Chemicals","15.0","3.2"
